ISO3,Country_EN,Country,City_1mill,Admin1,AdminAlt,Biggest_City,First_case,First_case_source,First_Ferguson,First_PAHO,First_andersonPAHO,Month_PAHO,Year_PAHO,MC_case,MC_source,Phylo_infer,Phylo_source,Zikv_import_case,Zikv_import_case_source,,Epidemic2015,Epidemic2016,Epidemic2017,Considered,Comments,PAHO,SHP,DataType
AIA,NA,Anguilla,N,NA,,NA,,,,,28/02/2016,2,2016,,,,,,,,0,0,0,0,,Anguilla,Anguilla,Not analysed
ATG,Antigua and Barbuda,Antigua and Barbuda,N,NA,,NA,,,,,31/07/2016,7,2016,,,,,,,,0,0,0,0,,Antigua.Barbuda,Antigua and Barbuda,Confirmed and suspected
ARG,Argentine Republic,Argentina,Y,NA,,Buenos Aires,25/02/2016,20160301.41,16/01/2016,15/05/2016,14/02/2016,2,2016,,,,,NA,,,0,1,1,1,,Argentina,Argentina,Confirmed and suspected
ABW,Aruba,Aruba,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,Aruba,Aruba,Confirmed
BHS,Commonwealth of the Bahamas,Bahamas,N,NA,,NA,,,,,07/08/2016,8,2016,,,,,,,,0,0,0,0,,Bahamas,Bahamas,Confirmed and suspected
BRB,Barbados,Barbados,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,Barbados,Barbados,Confirmed and suspected
BLZ,Belize,Belize,N,NA,,NA,,,,,10/01/2017,1,2016,,,,,,,,0,0,0,0,,Belize,Belize,Confirmed and suspected
BOL,Plurinational State of Bolivia,Bolivia,Y,NA,,La Paz,21/01/2016,20160128.4,02/01/2016,08/01/2016,03/01/2016,1,2016,,,,,06/12/2015,20160108.39,,0,1,1,1,,Bolivia,Bolivia,Confirmed and suspected
BRA,Brazil,Brazil,Y,Sao Paulo,São Paulo,Sao Paulo,29/02/2015,20150501.33,10/01/2015,02/02/2015,,2,2015,,,,,,,,1,1,0,1,,Sao Paulo,Sao Paulo,Confirmed and suspected
BRA,Brazil,Brazil,N,Acre,Acre,,,,14/11/2015,,,11,2015,,,,,,,,1,1,1,1,,Acre,Acre,Confirmed and suspected
BRA,Brazil,Brazil,,Alagoas,Alagoas,,09/06/2015,20150612.34,,,,6,2015,,,,,,,,1,1,1,1,,Alagoas,Alagoas,Confirmed and suspected
BRA,Brazil,Brazil,,Amapa,Amapá,,,,,,,1,1900,,,,,,,,1,1,1,1,,Amapa,Amapa,Confirmed and suspected
BRA,Brazil,Brazil,,Amazonas,Amazonas,,,,,,,1,1900,,,,,,,,1,1,1,1,,Amazonas,Amazonas,Confirmed and suspected
BRA,Brazil,Brazil,,Bahia,Bahia,,29/02/2015,20150501.33,14/11/2015,,,11,2015,,,,,,,,1,1,1,1,,Bahia,Bahia,Confirmed and suspected
BRA,Brazil,Brazil,,Ceara,Ceará,,29/02/2015,20150501.33,,,,1,1900,,,,,,,,1,1,1,1,,Ceara,Ceara,Confirmed and suspected
BRA,Brazil,Brazil,,Distrito Federal,Distrito Federal,,,,,,,1,1900,,,,,,,,1,1,0,1,,Distrito Federal,Distrito Federal,Confirmed and suspected
BRA,Brazil,Brazil,,Espirito Santo,Espírito Santo,,29/02/2015,20150501.33,09/01/2016,,,1,2016,,,,,,,,1,1,1,1,,Espirito Santo,Espirito Santo,Confirmed and suspected
BRA,Brazil,Brazil,,Goias,Goiás,,28/11/2015,,,,,11,2015,,,,,,,,1,1,1,1,,Goias,Goias,Confirmed and suspected
BRA,Brazil,Brazil,,Maranhao,Maranhão,,29/02/2015,20150501.33,,,,2,2015,,,,,,,,1,1,1,1,,Maranhao,Maranhao,Confirmed and suspected
BRA,Brazil,Brazil,,Mato Grosso do Sul,Mato Grosso do Sul,,,,,,,1,1900,,,,,,,,1,1,1,1,,Mato Grosso Do Sul,Mato Grosso Do Sul,Confirmed and suspected
BRA,Brazil,Brazil,,Mato Grosso,Mato Grosso,,,,10/01/2015,,,1,2015,,,,,,,,1,1,1,1,,Mato Grosso,Mato Grosso,Confirmed and suspected
BRA,Brazil,Brazil,,Minas Gerais,Minas Gerais,,,,,,,1,1900,,,,,,,,1,1,1,1,,Minas Gerais,Minas Gerais,Confirmed and suspected
BRA,Brazil,Brazil,,Para,Pará,,04/06/2015,20150609.34,,,,6,2015,,,,,,,,1,1,1,1,,Para,Para,Confirmed and suspected
BRA,Brazil,Brazil,,Paraiba,Paraíba,,29/02/2015,20150501.33,,,,2,2015,,,,,,,,1,1,0,1,,Paraiba,Paraiba,Confirmed and suspected
BRA,Brazil,Brazil,,Parana,Paraná,,29/02/2015,20150501.33,08/08/2015,,,8,2015,,,,,,,,1,1,0,1,,Parana,Parana,Confirmed and suspected
BRA,Brazil,Brazil,,Pernambuco,Pernambuco,,29/02/2015,20150501.33,14/03/2015,,,3,2015,,,,,,,,1,1,0,1,,Pernambuco,Pernambuco,Confirmed and suspected
BRA,Brazil,Brazil,,Piau,Piau,,,,,,,1,1900,,,,,,,,1,1,1,1,,Piaui,Piaui,Confirmed and suspected
BRA,Brazil,Brazil,,Rio de Janeiro,Rio de Janeiro,,29/02/2015,20150501.33,31/10/2015,,,10,2015,,,,,,,,1,1,1,1,,Rio De Janeiro,Rio De Janeiro,Confirmed and suspected
BRA,Brazil,Brazil,,Rio Grande do Norte,Rio Grande do Norte,,29/02/2015,20150501.33,12/12/2015,,,12,2015,,,,,,,,1,1,1,1,,Rio Grande Do Norte,Rio Grande Do Norte,Confirmed and suspected
BRA,Brazil,Brazil,,Rio Grande do Sul,Rio Grande do Sul,,,,12/12/2015,,,12,2015,,,,,,,,1,0,0,1,,Rio Grande Do Sul,Rio Grande Do Sul,Confirmed and suspected
BRA,Brazil,Brazil,,Rondania,Rondônia,,,,,,,1,1900,,,,,,,,1,1,1,1,,Rondonia,Rondonia,Confirmed and suspected
BRA,Brazil,Brazil,,Roraima,Roraima,,,,,,,1,1900,,,,,,,,1,1,1,1,,Roraima,Roraima,Confirmed and suspected
BRA,Brazil,Brazil,,Santa Catarina,Santa Catarina,,,,,,,1,1900,,,,,,,,0,0,0,1,,Santa Catarina,Santa Catarina,Confirmed and suspected
BRA,Brazil,Brazil,,Sergipe,Sergipe,,29/02/2015,20150501.33,,,,2,2015,,,,,,,,1,1,0,1,,Sergipe,Sergipe,Confirmed and suspected
BRA,Brazil,Brazil,,Tocantins,Tocantins,,,,,,,1,1900,,,,,,,,1,1,1,1,,Tocantins,Tocantins,Confirmed and suspected
VGB,British Virgin Islands,British Virgin Islands,N,NA,,NA,,,,,26/06/2016,6,2016,,,,,,,,0,0,0,0,,British.Virgin.Islands,British Virgin Islands,Not analysed
CYM,Cayman Islands,Cayman Islands,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,Cayman.Islands,Cayman Islands,Not analysed
CHL,Republic of Chile,Chile,Y,NA,,Santiago,NA,,,NA,,1,1900,,,,,,,,0,0,0,1,no data,Chile,Chile,Not analysed
COL,Republic of Colombia,Colombia,Y,NA,,Bogota,15/10/2015,20151018.37,26/09/2015,15/10/2015,,10,2015,,,,,,,,1,1,2,1,,Colombia,Colombia,Confirmed and suspected
CRI,Republic of Costa Rica,Costa Rica,Y,NA,,San Jose,12/05/2016, '20160524.4240474,30/01/2016,25/01/2016,,1,2016,,,,,,,,1,1,2,1,,Costa.Rica,Costa Rica,Confirmed and suspected
CUB,Republic of Cuba,Cuba,Y,NA,,Havana,15/03/2016,20160317.41,,14/03/2016,13/03/2016,3,2016,,,,,,,,0,1,1,1,,Cuba,Cuba,Confirmed
CUW,CuraÁao,Curacao,N,NA,,NA,,,,,10/01/2016,1,2016,,,,,,,,0,0,0,0,,Curacao,Netherlands Antilles,Confirmed and suspected
DMA,Commonwealth of Dominica,Dominica,N,NA,,NA,,,,,13/03/2016,3,2016,,,,,,,,0,1,0,0,,Dominica,Dominica,Not analysed
DOM,Dominican Republic,Dominican Republic,Y,NA,,Santo Domingo,08/01/2016,20160111.39,09/01/2016,18/01/2016,03/01/2016,1,2016,,,,,,,,0,0,0,1,,Dominican.Republic,Dominican Republic,Confirmed and suspected
ECU,Republic of Ecuador,Ecuador,Y,NA,,Guayaquil,20/02/2016,20160128.4,09/01/2016,09/01/2016,,1,2016,,,,,,,,0,1,1,1,,Ecuador,Ecuador,Confirmed and suspected
SLV,Republic of El Salvador,El Salvador,Y,NA,,San Salvador,31/12/2015,20160311.41,24/10/2015,09/11/2015,,11,2015,,,,,,,,1,2,2,1,,El.Salvador,El Salvador,Suspected
FLK,Falkland Islands,Falkland Islands,N,NA,,NA,,,,,,1,1900,,,,,,,,0,0,0,0,,Falkland.Islands,Falkland Islands (Malvinas),Not analysed
GUF,French.Guiana,French Guiana,,,,,,,,,,1,2016,,,,,,,,1,1,1,1,recently added,French.Guiana,French Guiana,Suspected
GRD,Grenada,Grenada,N,NA,,NA,,,,,01/05/2016,5,2016,,,,,,,,0,0,0,0,,Grenada,Grenada,Confirmed and suspected
GTM,Republic of Guatemala,Guatemala,Y,NA,,Guatemala City,22/07/2015,20150723.35,21/11/2015,16/11/2015,03/01/2016,11,2015,,,,,,,,1,1,1,1,,Guatemala,Guatemala,Confirmed and suspected
GUY,Co-operative Republic of Guyana,Guyana,N,NA,,NA,,,,,31/01/2016,1,2016,,,,,,,,0,0,0,0,,Guyana,Guyana,Confirmed
GLP,Guadeloupe,Guadeloupe,,,,,,,,,,1,2016,,,,,,,,0,1,1,1,,Guadeloupe,Guadeloupe,Suspected
HTI,Republic of Haiti,Haiti,Y,NA,,Port-au-Prince,29/12/2015,20151231.39,12/12/2015,04/01/2016,,1,2016,,,,,,,,0,1,0,1,,Haiti,Haiti,Suspected
HND,Republic of Honduras,Honduras,Y,NA,,Tegucigalpa,18/12/2015,20151223.39,26/12/2015,07/12/2015,03/01/2016,12,2015,,,,,,,,1,1,2,1,,Honduras,Honduras,Confirmed and suspected
JAM,Jamaica,Jamaica,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,Jamaica,Jamaica,Confirmed and suspected
MEX,United Mexican States,Mexico,Y,Aguascalientes,Aguascalientes,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Aguascalientes,Aguascalientes,Confirmed
MEX,United Mexican States,Mexico,Y,Baja_California,Baja_California,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Baja_California,Baja California,Confirmed
MEX,United Mexican States,Mexico,Y,Chihuahua,Chihuahua,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Chihuahua,Chihuahua,Confirmed
MEX,United Mexican States,Mexico,Y,Coahuila_de_Zaragoza,Coahuila_de_Zaragoza,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Coahuila_de_Zaragoza,Coahuila de Zaragoza,Confirmed
MEX,United Mexican States,Mexico,Y,Jalisco,Jalisco,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Jalisco,Jalisco,Confirmed
MEX,United Mexican States,Mexico,Y,Nuevo_Leon,Nuevo_Leon,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Nuevo_Leon,Nuevo Leon,Confirmed
MEX,United Mexican States,Mexico,Y,Puebla,Puebla,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Puebla,Puebla,Confirmed
MEX,United Mexican States,Mexico,Y,Queretaro_de_Arteaga,Queretaro_de_Arteaga,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Queretaro_de_Arteaga,Queretaro de Arteaga,Confirmed
MEX,United Mexican States,Mexico,Y,Sinaloa,Sinaloa,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Sinaloa,Sinaloa,Confirmed
MEX,United Mexican States,Mexico,Y,Yucatan,Yucatan,Mexico City,15/06/2016,20160622.43,02/01/2016,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Yucatan,Yucatan,Confirmed
MSR,NA,Montserrat,N,NA,,NA,,,,,,1,1900,,,,,,,,0,0,0,0,,Montserrat,Montserrat,Not analysed
MTQ,Martinique,Martinique,,,,,,,,,,1,2016,,,,,,,,1,1,1,1,,Martinique,Martinique,Suspected
NIC,Republic of Nicaragua,Nicaragua,N,NA,,NA,,,,,,1,1900,,,,,,,,0,1,2,0,,Nicaragua,Nicaragua,Suspected
PAN,Republic of Panama,Panama,Y,NA,,Panama City,01/02/2016,20160203.4,28/11/2015,28/11/2015,14/01/1900,11,2015,,,,,,,,0,1,1,1,,Panama,Panama,Confirmed and suspected
PRY,Republic of Paraguay,Paraguay,Y,NA,,Asuncion,31/12/2016,20160311.41,,16/11/2015,,11,2015,,,,,,,,0,1,2,1,,Paraguay,Paraguay,Confirmed and suspected
PER,Republic of Peru,Peru,Y,NA,,Lima,16/04/2016,20160419.42,,25/04/2016,07/02/2016,2,2016,,,,,,,,0,1,1,1,,Peru,Peru,Confirmed and suspected
PRI,Commonwealth of Puerto Rico,Puerto Rico,Y,NA,,San Juan,04/05/2016,20160511.42,02/01/2016,21/12/2015,,12,2015,,,,,,,,0,1,2,1,,Puerto.Rico,Puerto Rico,Confirmed and suspected
LCA,Saint Lucia,Saint Lucia,N,NA,,NA,,,,,,1,1900,,,,,,,,0,0,0,0,,St..Lucia,Saint Lucia,Not analysed
SXM,Sint Maarten (Dutch part),Sint Maarten,N,NA,,NA,,,,,17/01/2017,1,2016,,,,,,,,0,0,0,0,,St..Martin.Maarten,Netherlands Antilles 2,Not analysed
BLM,Saint-BarthÈlemy,St-BarthÈlemy,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,St..Barthelemy,Saint Barthelemy,Not analysed
MAF,Saint-Martin (French part),St-Martin,N,NA,,NA,,,,,17/01/2016,1,2016,,,,,,,,0,0,0,0,,Saint-Martin (French part),Saint Martin,Not analysed
KNA,Federation of Saint Kitts and Nevis,St. Kitts,N,NA,,NA,,,,,26/06/2016,6,2016,,,,,,,,0,0,0,0,,St..Kitts.Nevis,Saint Kitts and Nevis,Not analysed
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,N,NA,,NA,,,,,24/01/2016,1,2016,,,,,,,,0,0,0,0,,St..Vincent.Grenadines,Saint Vincent and the Grenadines,Confirmed and suspected
SUR,Republic of Suriname,Suriname,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,Suriname,Suriname,Confirmed and suspected
TTO,Trinidad and Tobago,Trinidad and Tobago,N,NA,,NA,,,,,07/02/2016,2,2016,,,,,,,,0,0,0,0,,Trinidad.Tobago,Trinidad and Tobago,Confirmed
TCA,Turks and Caicos Islands,Turks,N,NA,,NA,,,,,24/01/2016,1,2016,,,,,,,,0,0,0,0,,Turks.Caicos,Turks and Caicos Islands,Not analysed
VIR,United States Virgin Islands,United States Virgin Islands,N,NA,,NA,,,,,03/01/2016,1,2016,,,,,,,,0,0,0,0,,US.Virgin.Islands,United States Virgin Islands,Suspected
URY,Oriental Republic of Uruguay,Uruguay,Y,NA,,Montevideo,12/02/2016,20160225.4,, ,,1,1900,,,,,,,,0,0,0,1,no data,Uruguay,Uruguay,Not analysed
VEN,Bolivarian Republic of Venezuela,Venezuela,Y,NA,,Caracas,01/01/2016,20160216.4,12/12/2015,23/11/2015,03/01/2016,11,2015,,,,,,,,0,1,2,1,,Venezuela,Venezuela,Suspected